,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-24 10:40:00,2021-02-24,10:40 AM,2051.41,2049.41,2050.146,203,416179.75,4,2053.185,2049.41,2051.566,1500,3077349.0,8,2050.85,2049.41,2050.85,2050.195,0.006598890561524483,0.008823169289489624
2021-02-24 10:41:00,2021-02-24,10:41 AM,2049.725,2047.69,2047.937,214,438258.5,5,2048.55,2047.69,2048.08,300,614424.0,3,2048.06,2049.725,2048.0,2048.55,0.00551429612324999,0.007108987260667232
2021-02-24 10:42:00,2021-02-24,10:42 AM,2052.43,2049.765,2050.526,7,14353.685,2,,,,0,0.0,0,2052.43,2049.765,,,0.006785466336329316,0.007937557747920742
2021-02-24 10:43:00,2021-02-24,10:43 AM,2050.45,2049.65,2049.715,110,225468.6,4,2050.1,2049.65,2049.894,218,446876.8,2,2049.65,2050.45,2050.1,2049.65,0.006387274353785103,0.00800099133418521
2021-02-24 10:44:00,2021-02-24,10:44 AM,2051.705,2051.59,2051.648,4,8206.59,2,2052.56,2052.56,2052.56,100,205255.99,1,2051.705,2051.59,2052.56,2052.56,0.00733635586088529,0.009311952116985251
2021-02-24 10:45:00,2021-02-24,10:45 AM,2051.935,2050.005,2051.331,11,22564.64,5,2051.964,2050.7,2051.362,210,430786.04,2,2051.935,2050.82,2051.964,2050.7,0.007180712385587428,0.008722855711210993
2021-02-24 10:46:00,2021-02-24,10:46 AM,2051.02,2049.45,2050.148,258,528938.155,5,2050.995,2049.36,2050.008,300,615002.5,3,2049.67,2050.995,2049.67,2050.995,0.006599872539286591,0.008057048922046891
2021-02-24 10:47:00,2021-02-24,10:47 AM,2052.76,2051.26,2052.28,5,10261.4,3,2051.855,2050.87,2051.363,200,410272.5,2,2051.26,2052.31,2050.87,2051.855,0.007646660833718905,0.008723347444437726
2021-02-24 10:48:00,2021-02-24,10:48 AM,2052.43,2051.24,2052.303,205,420722.2,3,2052.43,2052.23,2052.313,300,615694.0,3,2051.24,2052.23,2052.43,2052.23,0.007657953577983263,0.009190494009951724
2021-02-24 10:49:00,2021-02-24,10:49 AM,2053.0,2051.35,2052.896,128,262770.76,7,2052.6,2052.6,2052.6,100,205260.0,1,2052.0,2052.66,2052.6,2052.6,0.007949109984455431,0.009331621446059502
2021-02-24 10:50:00,2021-02-24,10:50 AM,2053.28,2051.34,2052.829,11,22581.12,3,2051.175,2050.25,2050.713,200,410142.5,2,2052.74,2051.34,2051.175,2050.25,0.00791621372942402,0.008403720846981051
2021-02-24 10:51:00,2021-02-24,10:51 AM,2052.025,2050.43,2051.906,191,391914.03,3,2052.025,2051.045,2051.349,1182,2424694.34,8,2050.43,2051.79,2051.341,2052.025,0.007463030992200173,0.008716463179261894
2021-02-24 10:52:00,2021-02-24,10:52 AM,2051.88,2050.835,2051.254,207,424609.555,5,2051.6,2050.88,2051.24,200,410248.0,2,2051.32,2050.88,2051.6,2050.88,0.007142906241745251,0.008662864257534328
2021-02-24 10:53:00,2021-02-24,10:53 AM,2052.885,2050.43,2051.231,31,63588.15,6,2052.2,2050.79,2051.559,312,640086.48,3,2050.43,2051.4,2052.2,2050.79,0.007131613497480893,0.008819727156901819
2021-02-24 10:54:00,2021-02-24,10:54 AM,,,,0,0.0,0,2052.53,2049.702,2050.725,457,937181.5425,3,,,2049.702,2052.53,,0.008409621645703191
2021-02-24 10:55:00,2021-02-24,10:55 AM,2056.58,2053.88,2056.366,114,234425.71,3,2056.58,2053.955,2055.054,400,822021.5,4,2053.88,2056.58,2053.955,2056.58,0.009652841401753657,0.010538334784765927
