,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-03-18 12:34:00,2021-03-18,12:34 PM,2064.255,2063.59,2063.65,11.0,22700.155,2.0,2064.44,2063.56,2064.182,1185,2446056.25,11,2063.59,2064.255,2064.36,2064.44,0.00026998298186278746,0.003256895203406285
2021-03-18 12:35:00,2021-03-18,12:35 PM,2064.125,2063.0,2063.012,96.0,198049.125,2.0,2064.76,2061.37,2063.364,2496,5150157.52,17,2064.125,2063.0,2064.76,2061.37,-3.926143901398348e-05,0.00285932166566778
2021-03-18 12:36:00,2021-03-18,12:36 PM,2062.0,2061.5,2061.64,21.0,43294.435,3.0,,,,0,0.0,0,2061.935,2062.0,,,-0.0007042823566363584,0.0021963750819569065
2021-03-18 12:37:00,2021-03-18,12:37 PM,2061.2,2061.16,2061.196,100.0,206119.62,3.0,2062.85,2060.97,2061.702,595,1226713.0,5,2061.2,2061.16,2062.84,2062.85,-0.0009194932075286644,0.0020515377784776643
2021-03-18 12:38:00,2021-03-18,12:38 PM,2062.68,2061.68,2062.658,45.0,92819.6,3.0,2062.83,2062.0,2062.484,500,1031242.0,5,2061.68,2062.68,2062.83,2062.82,-0.00021084846877961655,0.0024316141923058834
2021-03-18 12:39:00,2021-03-18,12:39 PM,2062.0,2062.0,2062.0,2.0,4124.0,2.0,2062.82,2062.2,2062.444,700,1443711.0,7,2062.0,2062.0,2062.82,2062.2,-0.000529787072129006,0.0024121729435167263
2021-03-18 12:40:00,2021-03-18,12:40 PM,2061.52,2061.25,2061.385,2.0,4122.77,2.0,2062.59,2062.59,2062.59,100,206259.0,1,2061.52,2061.25,2062.59,2062.59,-0.0008278831831621885,0.0024831335015973043
2021-03-18 12:41:00,2021-03-18,12:41 PM,2062.31,2062.31,2062.31,2.0,4124.62,1.0,2062.33,2061.85,2062.133,400,824853.0,4,2062.31,2062.31,2062.33,2062.3,-0.0003795272438033098,0.0022610172341808203
2021-03-18 12:42:00,2021-03-18,12:42 PM,2061.15,2061.15,2061.15,1.0,2061.15,1.0,2062.21,2061.8,2062.057,300,618617.0,3,2061.15,2061.15,2062.21,2061.8,-0.0009417898272156206,0.0022240788614813775
2021-03-18 12:43:00,2021-03-18,12:43 PM,2061.06,2061.06,2061.06,100.0,206106.0,1.0,2061.06,2061.06,2061.06,100,206106.0,1,2061.06,2061.06,2061.06,2061.06,-0.0009854136483425139,0.001739505735411274
